theory,host,defect,cdir,nelect,F,E0,conv
pbesol,CdSe,Cd_i,Charged-2,1958,-.66294374E+03,-.66294374E+03,1
pbesol,CdSe,Cd_i,Neutral,1956.0000,-.66729603E+03,-.66729603E+03,1
pbesol,CdSe,Cl_Se,Charged+1,1944,-.66654668E+03,-.66654668E+03,1
pbesol,CdSe,Cl_Se,Charged+2,1943,-.66735668E+03,-.66733018E+03,1
pbesol,CdSe,Cl_Se,Charged-1,1946,-.66410672E+03,-.66410672E+03,1
pbesol,CdSe,Cl_Se,Charged-2,1947,-.66121279E+03,-.66119832E+03,1
pbesol,CdSe,Cl_Se,Neutral,1945.0000,-.66535315E+03,-.66533905E+03,1
pbesol,CdSe,Cu_Cd,Charged+1,1942,-.66896579E+03,-.66893090E+03,1
pbesol,CdSe,Cu_Cd,Charged+2,1941,-.66979009E+03,-.66974777E+03,1
pbesol,CdSe,Cu_Cd,Charged-1,1944,-.66707809E+03,-.66706989E+03,1
pbesol,CdSe,Cu_Cd,Charged-2,1945,-.66586719E+03,-.66585110E+03,1
pbesol,CdSe,Cu_Cd,Neutral,1943.0000,-.66809613E+03,-.66807449E+03,1
pbesol,CdSe,N_Se,Charged+1,1942,-.66856371E+03,-.66852515E+03,1
pbesol,CdSe,N_Se,Charged+2,1941,-.66931568E+03,-.66927337E+03,1
pbesol,CdSe,N_Se,Charged-1,1944,-.66697725E+03,-.66697725E+03,1
pbesol,CdSe,N_Se,Charged-2,1945,-.66581619E+03,-.66580209E+03,1
pbesol,CdSe,N_Se,Neutral,1943.0000,-.66778879E+03,-.66776229E+03,1
pbesol,CdSe,N_Se+Cl_Se,Charged+1,1943,-.66791706E+03,-.66789070E+03,1
pbesol,CdSe,N_Se+Cl_Se,Charged+2,1942,-.66867442E+03,-.66863601E+03,1
pbesol,CdSe,N_Se+Cl_Se,Charged-1,1945,-.66597100E+03,-.66595690E+03,1
pbesol,CdSe,N_Se+Cl_Se,Charged-2,1946,-.66476587E+03,-.66476587E+03,1
pbesol,CdSe,N_Se+Cl_Se,Neutral,1944.0000,-.66712430E+03,-.66712430E+03,1
pbesol,CdSe,N_Se+Cl_i,Charged+1,1949,-.67116312E+03,-.67113701E+03,1
pbesol,CdSe,N_Se+Cl_i,Charged+2,1948,-.67195069E+03,-.67191268E+03,1
pbesol,CdSe,N_Se+Cl_i,Charged-1,1951,-.66810396E+03,-.66810396E+03,1
pbesol,CdSe,N_Se+Cl_i,Charged-2,1952,-.66689038E+03,-.66687629E+03,1
pbesol,CdSe,N_Se+Cl_i,Neutral,1950.0000,-.67034271E+03,-.67034271E+03,1
pbesol,CdSe,N_Se+N_i,Charged+1,1947,-.67237011E+03,-.67233239E+03,1
pbesol,CdSe,N_Se+N_i,Charged+2,1946,-.67312889E+03,-.67308750E+03,1
pbesol,CdSe,N_Se+N_i,Charged-1,1949,-.67076844E+03,-.67076844E+03,1
pbesol,CdSe,N_Se+N_i,Charged-2,1950,-.66957743E+03,-.66956333E+03,1
pbesol,CdSe,N_Se+N_i,Neutral,1948.0000,-.67158790E+03,-.67156193E+03,1
pbesol,CdSe,N_Se+O_Se,Charged+1,1942,-.67008878E+03,-.67005034E+03,1
pbesol,CdSe,N_Se+O_Se,Charged+2,1941,-.67080680E+03,-.67076459E+03,1
pbesol,CdSe,N_Se+O_Se,Charged-1,1944,-.66857035E+03,-.66857035E+03,1
pbesol,CdSe,N_Se+O_Se,Charged-2,1945,-.66748381E+03,-.66746971E+03,1
pbesol,CdSe,N_Se+O_Se,Neutral,1943.0000,-.66934713E+03,-.66932076E+03,1
pbesol,CdSe,N_Se+O_i,Charged+1,1948,-.67230410E+03,-.67226671E+03,1
pbesol,CdSe,N_Se+O_i,Charged+2,1947,-.67294843E+03,-.67290270E+03,1
pbesol,CdSe,N_Se+O_i,Charged-1,1950,-.67072315E+03,-.67072070E+03,1
pbesol,CdSe,N_Se+O_i,Charged-2,1951,-.66976512E+03,-.66976206E+03,1
pbesol,CdSe,N_Se+O_i,Neutral,1949.0000,-.67153109E+03,-.67150536E+03,1
pbesol,CdSe,N_i,Charged+1,1948,-.67113439E+03,-.67110797E+03,1
pbesol,CdSe,N_i,Charged+2,1947,-.67192652E+03,-.67188809E+03,1
pbesol,CdSe,N_i,Charged-1,1950,-.66907520E+03,-.66906112E+03,1
pbesol,CdSe,N_i,Charged-2,1951,-.66778985E+03,-.66778985E+03,1
pbesol,CdSe,N_i,Neutral,1949.0000,-.67030829E+03,-.67030829E+03,1
pbesol,CdSe,N_i+N_i,Charged+1,1953,-.67488544E+03,-.67485916E+03,1
pbesol,CdSe,N_i+N_i,Charged+2,1952,-.67568657E+03,-.67564839E+03,1
pbesol,CdSe,N_i+N_i,Charged-1,1955,-.67278849E+03,-.67277451E+03,1
pbesol,CdSe,N_i+N_i,Charged-2,1956,-.67147530E+03,-.67147480E+03,1
pbesol,CdSe,N_i+N_i,Neutral,1954.0000,-.67405031E+03,-.67405031E+03,1
pbesol,CdSe,N_i+Se_i,Charged+1,1954,-.67257854E+03,-.67257854E+03,1
pbesol,CdSe,N_i+Se_i,Charged+2,1953,-.67466058E+03,-.67463432E+03,1
pbesol,CdSe,N_i+Se_i,Charged-1,1956,-.67006688E+03,-.67005273E+03,1
pbesol,CdSe,N_i+Se_i,Charged-2,1957,-.66872887E+03,-.66872770E+03,1
pbesol,CdSe,N_i+Se_i,Neutral,1955.0000,-.67286687E+03,-.67286677E+03,1
pbesol,CdSe,O_Se,Charged+1,1943,-.66901939E+03,-.66899289E+03,1
pbesol,CdSe,O_Se,Charged+2,1942,-.66977167E+03,-.66973311E+03,1
pbesol,CdSe,O_Se,Charged-1,1945,-.66710679E+03,-.66709269E+03,1
pbesol,CdSe,O_Se,Charged-2,1946,-.66592942E+03,-.66592942E+03,1
pbesol,CdSe,O_Se,Neutral,1944.0000,-.66823318E+03,-.66823318E+03,1
pbesol,CdSe,O_i+As_Se+O_i,Charged+1,1954,-.67702817E+03,-.67699213E+03,1
pbesol,CdSe,O_i+As_Se+O_i,Charged+2,1953,-.67784747E+03,-.67780442E+03,1
pbesol,CdSe,O_i+As_Se+O_i,Charged-1,1956,-.67520769E+03,-.67520492E+03,1
pbesol,CdSe,O_i+As_Se+O_i,Charged-2,1957,-.67402855E+03,-.67401185E+03,1
pbesol,CdSe,O_i+As_Se+O_i,Neutral,1955.0000,-.67616868E+03,-.67614682E+03,1
pbesol,CdSe,O_i+As_i+O_i,Charged+1,1960,-.68038761E+03,-.68036692E+03,1
pbesol,CdSe,O_i+As_i+O_i,Charged+2,1959,-.68124378E+03,-.68120702E+03,1
pbesol,CdSe,O_i+As_i+O_i,Charged-1,1962,-.67838014E+03,-.67837994E+03,1
pbesol,CdSe,O_i+As_i+O_i,Charged-2,1963,-.67707001E+03,-.67705590E+03,1
pbesol,CdSe,O_i+As_i+O_i,Neutral,1961.0000,-.67945905E+03,-.67945334E+03,1
pbesol,CdSe,O_i+Bi_Se+O_i,Charged+1,1964,-.67687390E+03,-.67687360E+03,1
pbesol,CdSe,O_i+Bi_Se+O_i,Charged+2,1963,-.67789357E+03,-.67788621E+03,1
pbesol,CdSe,O_i+Bi_Se+O_i,Charged-1,1966,-.67398643E+03,-.67398420E+03,1
pbesol,CdSe,O_i+Bi_Se+O_i,Charged-2,1967,-.67270179E+03,-.67268768E+03,1
pbesol,CdSe,O_i+Bi_Se+O_i,Neutral,1965.0000,-.67561259E+03,-.67561244E+03,1
pbesol,CdSe,O_i+Bi_i+O_i,Charged+1,1970,-.68012891E+03,-.68010697E+03,1
pbesol,CdSe,O_i+Bi_i+O_i,Charged+2,1969,-.68100711E+03,-.68096901E+03,1
pbesol,CdSe,O_i+Bi_i+O_i,Charged-1,1972,-.67809741E+03,-.67809738E+03,1
pbesol,CdSe,O_i+Bi_i+O_i,Charged-2,1973,-.67675148E+03,-.67673738E+03,1
pbesol,CdSe,O_i+Bi_i+O_i,Neutral,1971.0000,-.67918429E+03,-.67917990E+03,1
pbesol,CdSe,O_i+N_Se+O_i,Charged+1,1954,-.67605645E+03,-.67601633E+03,1
pbesol,CdSe,O_i+N_Se+O_i,Charged+2,1953,-.67680097E+03,-.67676186E+03,1
pbesol,CdSe,O_i+N_Se+O_i,Charged-1,1956,-.67449482E+03,-.67446952E+03,1
pbesol,CdSe,O_i+N_Se+O_i,Charged-2,1957,-.67366202E+03,-.67365032E+03,1
pbesol,CdSe,O_i+N_Se+O_i,Neutral,1955.0000,-.67528936E+03,-.67525341E+03,1
pbesol,CdSe,O_i+N_i+O_i,Charged+1,1960,-.67852464E+03,-.67847618E+03,1
pbesol,CdSe,O_i+N_i+O_i,Charged+2,1959,-.67930331E+03,-.67925289E+03,1
pbesol,CdSe,O_i+N_i+O_i,Charged-1,1962,-.67689892E+03,-.67687182E+03,1
pbesol,CdSe,O_i+N_i+O_i,Charged-2,1963,-.67607249E+03,-.67607161E+03,1
pbesol,CdSe,O_i+N_i+O_i,Neutral,1961.0000,-.67772468E+03,-.67768309E+03,1
pbesol,CdSe,O_i+P_Se+O_i,Charged+1,1954,-.67824013E+03,-.67820378E+03,1
pbesol,CdSe,O_i+P_Se+O_i,Charged+2,1953,-.67905673E+03,-.67900930E+03,1
pbesol,CdSe,O_i+P_Se+O_i,Charged-1,1956,-.67643067E+03,-.67642978E+03,1
pbesol,CdSe,O_i+P_Se+O_i,Charged-2,1957,-.67522383E+03,-.67520597E+03,1
pbesol,CdSe,O_i+P_Se+O_i,Neutral,1955.0000,-.67739092E+03,-.67736938E+03,1
pbesol,CdSe,O_i+P_i+O_i,Charged+1,1960,-.68058533E+03,-.68056004E+03,1
pbesol,CdSe,O_i+P_i+O_i,Charged+2,1959,-.68142640E+03,-.68138925E+03,1
pbesol,CdSe,O_i+P_i+O_i,Charged-1,1962,-.67884465E+03,-.67884441E+03,1
pbesol,CdSe,O_i+P_i+O_i,Charged-2,1963,-.67739488E+03,-.67738077E+03,1
pbesol,CdSe,O_i+P_i+O_i,Neutral,1961.0000,-.67992521E+03,-.67991728E+03,1
pbesol,CdSe,O_i+Sb_Se+O_i,Charged+1,1954,-.67709641E+03,-.67709614E+03,1
pbesol,CdSe,O_i+Sb_Se+O_i,Charged+2,1953,-.67809970E+03,-.67808858E+03,1
pbesol,CdSe,O_i+Sb_Se+O_i,Charged-1,1956,-.67494511E+03,-.67493898E+03,1
pbesol,CdSe,O_i+Sb_Se+O_i,Charged-2,1957,-.67325834E+03,-.67323938E+03,1
pbesol,CdSe,O_i+Sb_Se+O_i,Neutral,1955.0000,-.67557072E+03,-.67555555E+03,1
pbesol,CdSe,O_i+Sb_i+O_i,Charged+1,1960,-.68015965E+03,-.68013838E+03,1
pbesol,CdSe,O_i+Sb_i+O_i,Charged+2,1959,-.68103586E+03,-.68099921E+03,1
pbesol,CdSe,O_i+Sb_i+O_i,Charged-1,1962,-.67811701E+03,-.67811695E+03,1
pbesol,CdSe,O_i+Sb_i+O_i,Charged-2,1963,-.67676816E+03,-.67675406E+03,1
pbesol,CdSe,O_i+Sb_i+O_i,Neutral,1961.0000,-.67921443E+03,-.67921081E+03,1
pbesol,CdSe,P_Se,Charged+1,1942,-.66721113E+03,-.66717257E+03,1
pbesol,CdSe,P_Se,Charged+2,1941,-.66801627E+03,-.66797396E+03,1
pbesol,CdSe,P_Se,Charged-1,1944,-.66548745E+03,-.66548745E+03,1
pbesol,CdSe,P_Se,Charged-2,1945,-.66427323E+03,-.66425912E+03,1
pbesol,CdSe,P_Se,Neutral,1943.0000,-.66637635E+03,-.66634985E+03,1
pbesol,CdSe,P_Se+Cl_Se,Charged+1,1943,-.66647991E+03,-.66645491E+03,1
pbesol,CdSe,P_Se+Cl_Se,Charged+2,1942,-.66728641E+03,-.66724943E+03,1
pbesol,CdSe,P_Se+Cl_Se,Charged-1,1945,-.66442280E+03,-.66440870E+03,1
pbesol,CdSe,P_Se+Cl_Se,Charged-2,1946,-.66316723E+03,-.66316723E+03,1
pbesol,CdSe,P_Se+Cl_Se,Neutral,1944.0000,-.66562947E+03,-.66562947E+03,1
pbesol,CdSe,P_Se+Cl_i,Charged+1,1949,-.66999793E+03,-.66997451E+03,1
pbesol,CdSe,P_Se+Cl_i,Charged+2,1948,-.67078311E+03,-.67074790E+03,1
pbesol,CdSe,P_Se+Cl_i,Charged-1,1951,-.66640704E+03,-.66640699E+03,1
pbesol,CdSe,P_Se+Cl_i,Charged-2,1952,-.66515155E+03,-.66513745E+03,1
pbesol,CdSe,P_Se+Cl_i,Neutral,1950.0000,-.66906715E+03,-.66906715E+03,1
pbesol,CdSe,P_Se+O_Se,Charged+1,1942,-.66885123E+03,-.66881658E+03,1
pbesol,CdSe,P_Se+O_Se,Charged+2,1941,-.66961811E+03,-.66957897E+03,1
pbesol,CdSe,P_Se+O_Se,Charged-1,1944,-.66719189E+03,-.66719189E+03,1
pbesol,CdSe,P_Se+O_Se,Charged-2,1945,-.66604921E+03,-.66603511E+03,1
